Index Real_Part Imagine_part Amplitude
183 1.17279 1.60786 1.99014
184 -1.26723 -1.16121 1.71881
185 0.835048 -0.500409 0.973506
186 2.95182 -1.40743 3.27019
187 1.9276 -0.636213 2.02988
188 1.8393 2.28233 2.93122
189 2.05367 -0.743924 2.18426
190 -1.10252 0.347572 1.15601
191 3.31567 -0.538516 3.35912
192 1.60537 -1.55662 2.23614
193 2.78664 1.74651 3.28872
194 2.77505 1.73904 3.27493
195 -0.631236 0.991083 1.17503
196 -0.313152 1.56288 1.59395
197 1.27683 -1.86228 2.25796
198 -0.445575 -0.756119 0.877641
199 3.57173 0.379036 3.59179
200 1.35852 -1.26021 1.85303
201 1.43797 2.21376 2.63979
202 2.13608 -0.044789 2.13655
203 0.887633 0.356092 0.956396
204 1.42307 1.72703 2.2378
205 2.0087 1.18248 2.33091
206 -1.32894 1.13508 1.74771
207 0.084114 1.55559 1.55786
208 -0.09551 -2.36501 2.36694
209 0.799846 -0.664334 1.03976
210 3.66075 0.507157 3.69571
211 2.30111 0.87871 2.46318
212 -1.11508 3.91611 4.07177
213 0.679258 1.64947 1.78385
214 -4.57114 -2.30289 5.11846
215 1.30524 -0.388388 1.3618
216 2.81104 -4.72049 5.49408
217 3.44739 0.732503 3.52436
218 4.2629 4.03217 5.86777
219 3.15103 2.66554 4.12724
220 -7.33737 5.80635 9.35686
221 4.18892 2.23414 4.74746
222 -11.9799 -4.596 12.8313
223 3.15285 3.21868 4.50559
224 0.409904 -11.5731 11.5804
225 -1.95428 5.7224 6.04691
226 8.35445 -4.93623 9.70377
227 -4.40529 0.487528 4.43219
228 3.80706 2.47349 4.54002
229 2.43195 -3.4966 4.25918
230 -2.58468 1.67169 3.07817
231 5.77259 2.59303 6.32824
232 -2.57443 -3.62114 4.44301
233 -1.45524 4.97744 5.18581
234 4.39567 -5.46806 7.01581
235 -3.29326 -1.18094 3.4986
236 7.44127 2.92581 7.9958
237 0.940807 -3.61109 3.73164
238 -0.441915 6.97597 6.98995
239 3.26052 -1.511 3.59362
240 -3.8864 0.1848 3.89079
241 2.39735 1.32299 2.73817
242 1.43192 -2.7652 3.11395
243 -0.644425 1.11283 1.28596
244 4.05694 0.772703 4.12988
245 -0.235692 -1.29483 1.31611
246 1.25576 3.1553 3.39601
247 1.19547 -1.05124 1.59193
248 -0.878816 -0.345843 0.944418
249 2.30098 -1.65671 2.83535
250 5.33194 -1.49236 5.53685
251 5.27588 1.7735 5.56599
252 5.62212 8.98769 10.6013
253 -1.52664 7.03863 7.20228
254 -9.22583 8.34179 12.4379
255 -8.73409 -3.18229 9.29577
256 -8.08402 -10.3989 13.1715
257 4.40838 -12.1771 12.9505
258 12.6575 -10.2159 16.2658
259 16.1677 1.03861 16.2011
260 15.8268 10.576 19.0352
261 6.82122 15.5509 16.9811
262 -2.24127 19.314 19.4436
263 -8.9277 12.4873 15.3505
264 -15.4431 6.87393 16.9038
265 -12.2592 -1.52056 12.3532
266 -9.10448 -8.1018 12.1873
267 -1.03742 -7.55529 7.62618
268 3.0277 -4.98552 5.83287
269 3.37252 0.083786 3.37357
270 0.412477 2.51857 2.55212
271 -1.8951 0.60209 1.98844
272 -2.2107 -0.985383 2.42037
273 0.946939 -2.79965 2.95546
274 1.65044 0.284286 1.67475
275 1.9586 1.79456 2.65642
276 -2.30859 2.64572 3.51133
277 -2.40787 0.415462 2.44345
278 -2.39781 -2.58741 3.52763
279 0.580873 -1.87921 1.96694
280 1.42096 -0.705231 1.58634
281 0.589654 0.423714 0.726103
282 -1.41521 1.1612 1.83063
283 -1.09103 -2.00595 2.28345
284 -0.45058 -2.95192 2.98611
285 3.33546 -1.96118 3.8693
286 3.54138 0.443105 3.56899
287 1.02539 1.85635 2.12073
288 0.582633 3.5529 3.60035
289 -1.68878 -1.24577 2.09855
290 -2.53759 0.839118 2.67273
291 3.8994 -2.65492 4.7174
